policy,planning_mode,vehicles,completed,replanning_decisions,route_changes,average_travel_time,controlled_average_travel_time,p95_travel_time,total_travel_time,total_delay,peak_utilization,peak_severely_congested_edges,severe_edge_ticks,overload_vehicle_ticks,window_completed,window_throughput,last_arrival,objective
static,departure,210,210,0,0,190.77619047619046,194.6057142857143,278,40063,20113,24.333333333333332,2,270,20078,206,0.6866666666666666,304,40063.0
reactive,departure,210,210,0,0,190.77619047619046,194.6057142857143,278,40063,20113,24.333333333333332,2,270,20078,206,0.6866666666666666,304,40063.0
predictive,departure,210,210,0,0,190.77619047619046,194.6057142857143,278,40063,20113,24.333333333333332,2,270,20078,206,0.6866666666666666,304,40063.0
anticipatory,departure,210,210,0,0,140.86666666666667,142.09142857142857,166,29582,7014,11.4,2,151,6979,210,0.7,186,29582.0
cooperative,departure,210,210,0,0,137.23809523809524,140.26857142857142,166,28820,6252,11.4,2,132,6229,210,0.7,186,28820.0
rl_swarm,departure,210,210,0,0,135.9142857142857,139.57714285714286,165,28542,5556,11.4,2,74,5522,210,0.7,186,28542.0
static,junction,210,210,350,0,190.77619047619046,194.6057142857143,278,40063,20113,24.333333333333332,2,270,20078,206,0.6866666666666666,304,40063.0
reactive,junction,210,210,350,162,142.53333333333333,143.22857142857143,169,29932,7518,11.4,2,158,7483,210,0.7,192,29932.0
predictive,junction,210,210,350,101,145.44285714285715,145.5257142857143,178,30543,8371,11.4,2,169,8336,210,0.7,203,30543.0
anticipatory,junction,210,210,350,34,140.8761904761905,142.0857142857143,166,29584,7016,11.4,2,151,6981,210,0.7,186,29584.0
cooperative,junction,210,210,350,45,134.7095238095238,138.3942857142857,160,28289,5611,11.4,1,85,5588,210,0.7,180,28289.0
rl_swarm,junction,210,210,293,123,141.28571428571428,145.75428571428571,181,29670,5732,11.4,1,96,5698,210,0.7,200,29670.0
