policy,planning_mode,vehicles,completed,replanning_decisions,route_changes,average_travel_time,controlled_average_travel_time,p95_travel_time,total_travel_time,total_delay,peak_utilization,peak_severely_congested_edges,severe_edge_ticks,overload_vehicle_ticks,window_completed,window_throughput,last_arrival,objective
static,departure,210,210,0,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
reactive,departure,210,210,0,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
predictive,departure,210,210,0,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
anticipatory,departure,210,210,0,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
cooperative,departure,210,210,0,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
rl_swarm,departure,210,210,0,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
static,junction,210,210,350,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
reactive,junction,210,210,350,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
predictive,junction,210,210,350,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
anticipatory,junction,210,210,350,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
cooperative,junction,210,210,350,0,120.77619047619048,121.81714285714285,145,25363,5413,11.4,1,65,5390,210,0.7,164,25363.0
rl_swarm,junction,210,210,282,156,133.6904761904762,137.31428571428572,180,28075,5413,11.4,1,65,5390,210,0.7,200,28075.0
